[23:33:08] [Render thread/INFO] [JMLogger] JourneyMap log initialized.
[23:33:08] [Render thread/INFO] [JourneymapClient] initialize ENTER
[23:33:08] [Render thread/INFO] [ClientAPI] [ClientAPI] built with JourneyMap API 1.9-SNAPSHOT
[23:33:08] [Render thread/INFO] [PluginHelper] Initializing plugins with Client API: journeymap.client.api.impl.ClientAPI
[23:33:08] [Render thread/INFO] [?] Version: JourneyMap 1.20.1-5.10.3, built with forge 1.20.1-47.2.30
forge: 47.4.0
Environment: os.name, os.arch, java.version, user.country, user.language=null, game language=ko_kr, locale=ko_kr
Features: 
	RadarPlayers : singleplayer = true , multiplayer = true
	RadarAnimals : singleplayer = true , multiplayer = true
	RadarMobs : singleplayer = true , multiplayer = true
	RadarVillagers : singleplayer = true , multiplayer = true
	MapTopo : singleplayer = true , multiplayer = true
	MapSurface : singleplayer = true , multiplayer = true
	MapCaves : singleplayer = true , multiplayer = true
	MapBiome : singleplayer = true , multiplayer = true
MiniMapProperties{state=Valid, file=journeymap.minimap.config, configVersion=5.10.3, zoomLevel=0, compassFontScale=2.3, terrainAlpha=100, showEntityNames=true, positionX=0.9, positionY=0.25, effectVertical=false, showPlayerHeading=true, sizePercent=30, playerDisplayScale=1.0, showDayNight=true, showPets=true, preferredMapType=day, showCompass=true, mobDisplay=jm.common.entity_display.dots, systemTimeRealFormat=HH:mm:ss, shape=jm.minimap.shape_circle, showSelf=true, selfDisplayScale=1.22, showGrid=true, reticleOrientation=jm.minimap.orientation.compass, gameTimeRealFormat=HH:mm:ss, effectTranslateX=-80, showWaypoints=true, minimapKeyMovementSpeed=0.001, showAnimals=true, infoSlotAlpha=0.7, effectTranslateY=0, showWaypointLabels=true, moveEffectIcons=true, position=jm.minimap.position_topright, fontScale=2.22, showPlayers=true, waypointIconScale=1.59, frameAlpha=100, effectReversed=false, backgroundAlpha=0.8, enabled=true, showVillagers=true, info2Label=jm.theme.labelsource.gametime, info3Label=jm.theme.labelsource.location, showMobs=true, waypointLabelScale=1.0, showReticle=true, orientation=jm.minimap.orientation.north, info4Label=jm.theme.labelsource.biome, locationFormat=xzyv, playerDisplay=jm.common.entity_display.dots, mobDisplayScale=1.0, showCaves=true, showMobHeading=true, locationFormatVerbose=true, info1Label=jm.theme.labelsource.blank}
MiniMapProperties{state=Valid, file=journeymap.minimap2.config, configVersion=5.10.3, zoomLevel=0, compassFontScale=1.0, terrainAlpha=100, showEntityNames=true, positionX=0.9, positionY=0.25, effectVertical=false, showPlayerHeading=true, sizePercent=30, playerDisplayScale=1.0, showDayNight=true, showPets=true, preferredMapType=day, showCompass=true, mobDisplay=jm.common.entity_display.dots, systemTimeRealFormat=HH:mm:ss, shape=jm.minimap.shape_rectangle, showSelf=true, selfDisplayScale=1.0, showGrid=true, reticleOrientation=jm.minimap.orientation.compass, gameTimeRealFormat=HH:mm:ss, effectTranslateX=0, showWaypoints=true, minimapKeyMovementSpeed=0.001, showAnimals=true, infoSlotAlpha=0.7, effectTranslateY=0, showWaypointLabels=true, moveEffectIcons=true, position=jm.minimap.position_topright, fontScale=1.0, showPlayers=true, waypointIconScale=1.0, frameAlpha=100, effectReversed=false, backgroundAlpha=0.8, enabled=true, showVillagers=true, info2Label=jm.theme.labelsource.gametime, info3Label=jm.theme.labelsource.location, showMobs=true, waypointLabelScale=1.0, showReticle=true, orientation=jm.minimap.orientation.north, info4Label=jm.theme.labelsource.biome, locationFormat=xzyv, playerDisplay=jm.common.entity_display.dots, mobDisplayScale=1.0, showCaves=true, showMobHeading=true, locationFormatVerbose=true, info1Label=jm.theme.labelsource.blank}
FullMapProperties{state=Valid, file=journeymap.fullmap.config, configVersion=5.10.3, zoomLevel=0, showPlayers=true, waypointIconScale=1.0, showEntityNames=true, showPlayerHeading=true, showVillagers=true, showPlayerLoc=true, showKeys=true, playerDisplayScale=1.0, showMobs=true, showPets=true, waypointLabelScale=1.0, preferredMapType=day, mobDisplay=jm.common.entity_display.dots, showSelf=true, locationFormat=xzyv, playerDisplay=jm.common.entity_display.dots, mobDisplayScale=1.0, selfDisplayScale=1.0, showGrid=true, showMouseLoc=true, showWaypoints=true, showCaves=true, showAnimals=true, showMobHeading=true, showWaypointLabels=true, locationFormatVerbose=true, fontScale=1.0}
WaypointProperties{state=Valid, file=journeymap.waypoint.config, configVersion=5.10.3, autoRemoveDeathpointDistance=2, dateFormat=MM-dd-yyyy, autoRemoveDeathpoints=false, fullscreenDoubleClickToCreate=true, managerDimensionFocus=false, minDistance=4, boldLabel=false, textureSmall=true, showDeathpointlabel=true, beaconEnabled=true, createDeathpoints=true, showName=true, disableStrikeThrough=false, maxDistance=0, autoHideLabel=true, autoRemoveTempWaypoints=2, teleportCommand=/tp {name} {x} {y} {z}, showStaticBeam=true, shaderBeacon=false, timeFormat=HH:mm:ss, showDeviationLabel=false, showDistance=true, showRotatingBeam=true, fontScale=2.0, showTexture=true, managerEnabled=true}
WebMapProperties{state=Valid, file=journeymap.webmap.config, configVersion=5.10.3, port=8080, enabled=false}
CoreProperties{state=Valid, file=journeymap.core.config, configVersion=5.10.3, verboseColorPalette=false, maxPlayersData=32, mapSurfaceAboveCaves=true, dataCachingEnabled=true, optionsManagerViewed=5.10.3, announceMod=true, colorPassive=#bbbbbb, mapBlendWater=false, renderDistanceSurfaceMax=0, seedId=false, radarVerticalDistance=16, mapBlendGrass=true, recordCacheStats=false, hideSneakingEntities=true, revealShape=jm.minimap.shape_circle, mapBiome=true, alwaysMapSurface=false, colorVillager=#88e188, mapPlants=false, colorPet=#0077ff, radarLateralDistance=64, mapBathymetry=false, mapCrops=true, maxMobsData=32, mapPlantShadows=false, alwaysMapCaves=false, checkUpdates=true, mapBlendFoliage=true, hideSpectators=false, mappingEnabled=true, colorPlayer=#ffffff, tileHighDisplayQuality=true, cacheVillagersData=2200, logLevel=INFO, maxVillagersData=32, mapWaterBiomeColors=false, maxAnimalsData=32, mapTransparency=true, caveBlackAsClear=false, tileRenderType=1, caveIgnoreGlass=true, mapTopography=true, renderDistanceCaveMax=0, mapAntialiasing=true, colorSelf=#0000ff, cachePlayersData=2000, cacheMobsData=3000, cachePlayerData=1000, splashViewed=5.10.3, colorHostile=#ff0000, cacheAnimalsData=3100, themeName=OceanMonument, mapCaveLighting=true, renderDelay=2, glErrorChecking=false, autoMapPoll=2000}
[23:33:09] [Render thread/INFO] [JourneymapClient] initialize EXIT, elapsed count 1 avg 965.16ms
[23:33:11] [Render thread/INFO] [JourneymapClient] Journeymap PostInit
[23:33:12] [Render thread/INFO] [ThemeLoader] Preloaded theme textures: 73
[23:33:12] [Render thread/INFO] [JourneymapClient] postInitialize EXIT, elapsed count 1 avg 884.9ms
[23:34:15] [Server thread/INFO] [ForgeConfig] Loading JourneyMap Forge Configs
[23:34:35] [Render thread/INFO] [WaypointStore] Loaded 5 waypoints from C:\Users\jinan\curseforge\minecraft\Instances\Âé¾ß´ÂÇÜÂî\journeymap\data\sp\Âé¾ß¹ÌÀÇÇÜÂî¿©Çà±â\waypoints
[23:34:35] [Render thread/INFO] [JourneymapClient] Mapping started in C:\Users\jinan\curseforge\minecraft\Instances\Âé¾ß´ÂÇÜÂî\journeymap\data\sp\Âé¾ß¹ÌÀÇÇÜÂî¿©Çà±â\overworld. Memory: 1754MB total, 510MB free 
[23:34:35] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[23:34:35] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[23:34:35] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[23:34:36] [Render thread/INFO] [ChatLog] JourneyMap: Å¬¸¯ [J]
[23:35:46] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[23:38:23] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[23:39:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[23:39:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[23:39:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[23:39:29] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[23:44:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[23:44:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[23:44:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[23:44:25] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[23:50:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[23:50:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[23:50:00] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[23:50:06] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[23:53:15] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[23:54:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
[23:54:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[23:54:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[23:54:52] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/brown.png
[23:55:04] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/orange.png
[23:58:32] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/white.png
[23:58:32] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/black.png
[23:58:32] [Render thread/WARN] [JMLogger] Can't get entityTexture for hamsters:textures/entity_icon/hamster/grey_white.png
